,area
c0,0
c1,2
c2,0
c3,1
c4,3
c5,0
c6,2
c7,3
c8,1
c9,1
c10,2
c11,3
c12,3
c13,3
c14,3
c15,1
c16,2
c17,3
c18,2
c19,1
c20,1
c21,3
c22,0
c23,1
c24,0
c25,0
c26,2
c27,3
c28,2
c29,0
c30,3
c31,0
c32,3
c33,0
c34,0
c35,2
c36,0
c37,1
c38,2
c39,1
c40,3
c41,2
c42,0
c43,1
c44,3
c45,2
c46,0
c47,0
c48,2
c49,3
c50,3
c51,2
c52,3
c53,1
c54,0
c55,0
c56,0
c57,3
c58,0
c59,2
c60,0
c61,2
c62,2
c63,1
c64,3
c65,2
c66,3
c67,1
c68,1
c69,2
c70,1
c71,2
c72,2
c73,2
c74,0
c75,2
c76,0
c77,3
c78,2
c79,3
c80,3
c81,2
c82,3
c83,2
c84,1
c85,0
c86,0
c87,0
c88,0
c89,3
c90,0
c91,2
c92,1
c93,1
c94,0
c95,2
c96,1
c97,1
c98,0
c99,0
c100,2
c101,3
c102,3
c103,0
c104,1
c105,0
c106,3
c107,1
c108,0
c109,1
c110,0
c111,0
c112,2
c113,3
c114,2
c115,2
c116,0
c117,1
c118,0
c119,0
c120,0
c121,0
c122,0
c123,3
c124,3
c125,2
c126,3
c127,3
c128,1
c129,1
c130,0
c131,0
c132,0
c133,2
c134,2
c135,1
c136,0
c137,1
c138,3
c139,2
c140,2
c141,3
c142,0
c143,0
c144,0
c145,0
c146,0
c147,0
c148,0
c149,3
c150,0
c151,2
c152,2
c153,1
c154,2
c155,1
c156,0
c157,1
c158,2
c159,2
c160,1
c161,0
c162,0
c163,0
c164,3
c165,1
c166,1
c167,2
c168,0
c169,0
c170,2
c171,1
c172,3
c173,3
c174,1
c175,0
c176,1
c177,0
c178,0
c179,0
c180,2
c181,0
c182,2
c183,2
c184,0
c185,3
c186,1
c187,2
c188,2
c189,3
c190,1
c191,0
c192,1
c193,1
c194,0
c195,0
c196,0
c197,3
c198,2
c199,0
c200,3
c201,3
c202,0
c203,1
c204,1
c205,1
c206,0
c207,2
c208,0
c209,0
c210,2
c211,2
c212,0
c213,0
c214,3
c215,0
c216,3
c217,0
c218,0
c219,0
c220,1
c221,3
c222,0
c223,0
c224,2
c225,1
c226,2
c227,0
c228,2
c229,0
c230,1
c231,0
c232,2
c233,3
c234,1
c235,1
c236,2
c237,3
c238,1
c239,2
c240,3
c241,2
c242,0
c243,1
c244,0
c245,0
c246,0
c247,0
c248,0
c249,2
c250,2
c251,0
c252,2
c253,2
c254,2
c255,1
c256,0
c257,0
c258,1
c259,0
c260,3
c261,3
c262,2
c263,3
c264,2
c265,1
c266,1
c267,0
c268,1
c269,2
c270,3
c271,1
c272,3
c273,3
c274,3
c275,1
c276,3
c277,3
c278,0
c279,0
c280,1
c281,2
c282,0
c283,1
c284,3
c285,0
c286,1
c287,0
c288,1
c289,0
c290,2
c291,3
c292,1
c293,2
c294,0
c295,3
c296,0
c297,3
c298,0
c299,2
c300,2
c301,1
c302,3
c303,0
c304,0
c305,3
c306,2
c307,0
c308,1
c309,3
c310,3
c311,0
c312,1
c313,2
c314,3
c315,0
c316,0
c317,0
c318,2
c319,0
c320,3
c321,1
c322,0
c323,2
c324,1
c325,2
c326,3
c327,3
c328,0
c329,2
c330,2
c331,2
c332,3
c333,1
c334,0
c335,2
c336,0
c337,3
c338,0
c339,3
c340,0
c341,3
c342,3
c343,2
c344,1
c345,2
c346,2
c347,0
c348,3
c349,1
c350,3
c351,1
c352,0
c353,0
c354,0
c355,1
c356,3
c357,0
c358,0
c359,3
c360,2
c361,0
c362,0
c363,0
c364,1
c365,1
c366,2
c367,2
c368,3
c369,2
c370,2
c371,1
c372,0
c373,2
c374,0
c375,3
c376,1
c377,2
c378,1
c379,1
c380,1
c381,1
c382,0
c383,3
c384,2
c385,3
c386,3
c387,3
c388,2
c389,1
c390,3
c391,3
c392,0
c393,1
c394,1
c395,2
c396,0
c397,3
c398,1
c399,1
c400,1
c401,1
c402,2
c403,1
c404,2
c405,0
c406,1
c407,2
c408,2
c409,0
c410,3
c411,1
c412,3
c413,2
c414,0
c415,1
c416,2
c417,1
c418,0
c419,1
c420,2
c421,1
c422,0
c423,3
c424,1
c425,2
c426,1
c427,2
c428,1
c429,3
c430,2
c431,0
c432,0
c433,3
c434,2
c435,0
c436,1
c437,2
c438,1
c439,0
c440,2
c441,1
c442,0
c443,1
c444,0
c445,0
c446,3
c447,3
c448,0
c449,1
c450,0
c451,1
c452,0
c453,3
c454,1
c455,0
c456,0
c457,2
c458,2
c459,2
c460,2
c461,2
c462,1
c463,2
c464,2
c465,3
c466,3
c467,1
c468,0
c469,0
c470,2
c471,0
c472,1
c473,0
c474,0
c475,2
c476,2
c477,3
c478,3
c479,2
c480,2
c481,3
c482,0
c483,2
c484,2
c485,0
c486,2
c487,1
c488,1
c489,2
c490,3
c491,1
c492,0
c493,1
c494,3
c495,2
c496,1
c497,1
c498,0
c499,3
c500,3
c501,1
c502,0
c503,0
c504,0
c505,2
c506,1
c507,2
c508,0
c509,1
c510,3
c511,1
c512,0
c513,1
c514,3
c515,2
c516,0
c517,0
c518,3
c519,3
c520,0
c521,2
c522,0
c523,2
c524,2
c525,0
c526,3
c527,0
c528,3
c529,3
c530,1
c531,3
c532,0
c533,1
c534,3
c535,1
c536,0
c537,0
c538,1
c539,3
c540,3
c541,3
c542,0
c543,1
c544,1
c545,2
c546,2
c547,0
c548,0
c549,2
c550,0
c551,0
c552,3
c553,1
c554,0
c555,2
c556,3
c557,1
c558,1
c559,1
c560,0
c561,0
c562,0
c563,0
c564,1
c565,1
c566,2
c567,3
c568,3
c569,1
c570,1
c571,0
c572,1
c573,0
c574,0
c575,3
c576,2
c577,3
c578,0
c579,0
c580,3
c581,3
c582,2
c583,0
c584,1
c585,2
c586,0
c587,1
c588,0
c589,1
c590,2
c591,3
c592,3
c593,1
c594,3
c595,1
c596,2
c597,0
c598,1
c599,0
c600,2
c601,2
c602,1
c603,2
c604,0
c605,2
c606,0
c607,2
c608,1
c609,2
c610,1
c611,3
c612,2
c613,3
c614,0
c615,0
c616,3
c617,0
c618,0
c619,0
c620,0
c621,0
c622,3
c623,3
c624,0
c625,1
c626,1
c627,1
c628,0
c629,2
c630,2
c631,2
c632,0
c633,1
c634,0
c635,2
c636,2
c637,1
c638,1
c639,1
c640,0
c641,0
c642,3
c643,1
c644,2
c645,0
c646,0
c647,1
c648,0
c649,0
c650,1
c651,0
c652,3
c653,2
c654,3
c655,3
c656,1
c657,3
c658,3
c659,2
c660,0
c661,1
c662,3
c663,3
c664,2
c665,2
c666,2
c667,0
c668,2
c669,2
c670,1
c671,3
c672,0
c673,0
c674,3
c675,2
c676,2
c677,2
c678,2
c679,3
c680,0
c681,3
c682,1
c683,0
c684,0
c685,3
c686,1
c687,3
c688,2
