,area
f0,3
f1,0
f2,0
f3,1
f4,3
f5,1
f6,2
f7,0
f8,0
f9,3
f10,0
f11,2
f12,2
f13,3
f14,0
f15,2
f16,2
f17,3
f18,3
f19,3
f20,1
f21,0
f22,3
f23,2
f24,0
f25,0
f26,0
f27,3
f28,0
f29,0
f30,0
f31,3
f32,0
f33,3
f34,2
f35,3
f36,0
f37,2
f38,2
f39,0
f40,1
f41,2
f42,1
f43,0
f44,0
f45,1
f46,0
f47,1
f48,2
f49,1
f50,2
f51,2
f52,2
f53,2
f54,0
f55,0
f56,3
f57,3
f58,3
f59,3
f60,0
f61,0
f62,2
f63,0
f64,1
f65,3
f66,0
f67,1
f68,2
f69,0
f70,1
f71,3
f72,0
f73,1
f74,3
f75,3
f76,2
f77,2
f78,0
f79,0
f80,3
f81,3
f82,2
f83,3
f84,2
f85,0
f86,2
f87,3
f88,1
f89,0
f90,3
f91,3
f92,0
f93,3
f94,3
f95,2
f96,2
f97,0
f98,2
f99,1
f100,2
f101,1
f102,0
f103,1
f104,0
f105,0
f106,1
f107,3
f108,3
f109,0
f110,0
f111,1
f112,2
f113,3
f114,1
f115,0
f116,1
f117,3
f118,0
f119,3
f120,0
f121,0
f122,0
f123,3
f124,0
f125,3
f126,0
f127,0
f128,3
f129,2
f130,1
f131,3
f132,3
f133,3
f134,2
f135,0
f136,2
f137,1
f138,2
f139,1
f140,0
f141,3
f142,2
f143,3
f144,1
f145,2
f146,3
f147,2
f148,0
f149,3
f150,2
f151,0
f152,1
f153,0
f154,3
f155,1
f156,1
f157,3
f158,1
f159,3
f160,3
f161,2
f162,2
f163,2
f164,2
f165,0
f166,1
f167,2
f168,1
f169,1
f170,0
f171,1
f172,2
f173,3
f174,2
f175,3
f176,3
f177,3
f178,2
f179,3
f180,1
f181,3
f182,2
f183,0
f184,3
f185,3
f186,0
f187,1
f188,2
f189,3
f190,3
f191,3
f192,2
f193,3
f194,3
f195,2
f196,3
f197,1
f198,2
f199,1
f200,0
f201,3
f202,3
f203,1
f204,3
f205,1
f206,0
f207,2
f208,3
f209,0
f210,1
f211,3
f212,1
f213,3
f214,2
f215,2
f216,0
f217,0
f218,1
f219,0
f220,2
f221,1
f222,2
f223,3
f224,1
f225,2
f226,0
f227,0
f228,1
f229,3
f230,1
f231,1
f232,3
f233,2
f234,0
f235,2
f236,2
f237,0
f238,2
f239,1
f240,2
f241,0
f242,1
f243,2
f244,3
f245,3
f246,0
f247,0
f248,0
f249,0
f250,0
f251,0
f252,3
f253,3
f254,3
f255,0
f256,0
f257,1
f258,2
f259,3
f260,3
f261,3
f262,0
f263,3
f264,3
f265,3
f266,0
f267,1
f268,3
f269,3
f270,0
f271,3
f272,1
f273,1
f274,1
f275,2
f276,2
f277,2
f278,0
f279,3
f280,1
f281,2
f282,0
f283,0
f284,3
f285,0
f286,2
f287,1
f288,0
f289,2
f290,0
f291,3
f292,2
