,coordinate1,coordinate2
f0,202,55
f1,103,49
f2,102,31
f3,172,81
f4,0,44
f5,212,12
f6,248,18
f7,74,73
f8,287,35
f9,87,33
f10,222,19
f11,248,69
f12,15,68
f13,216,57
f14,143,32
f15,25,67
f16,71,78
f17,87,41
f18,278,56
f19,225,26
f20,25,72
f21,71,47
f22,38,64
f23,195,52
f24,74,65
f25,166,84
f26,308,59
f27,271,76
f28,217,18
f29,140,49
f30,232,53
f31,80,26
f32,11,78
f33,260,0
f34,172,75
f35,308,51
f36,2,81
f37,195,59
f38,11,50
f39,218,36
f40,172,22
f41,110,50
f42,192,65
f43,61,59
f44,166,82
f45,149,19
f46,34,5
f47,140,30
f48,286,11
f49,38,36
f50,5,68
f51,48,61
f52,287,81
f53,34,81
f54,117,66
f55,130,13
f56,80,10
f57,94,45
f58,126,77
f59,0,45
f60,309,22
f61,224,0
f62,156,54
f63,10,22
f64,271,28
f65,172,5
f66,186,33
f67,232,48
f68,140,26
f69,34,55
f70,209,20
f71,78,37
f72,281,71
f73,217,76
f74,143,78
f75,11,27
f76,281,20
f77,86,24
f78,0,49
f79,79,77
f80,33,74
f81,176,11
f82,2,41
f83,291,82
f84,171,29
f85,28,62
f86,140,32
f87,309,17
f88,186,20
f89,202,56
f90,217,52
f91,218,79
f92,148,33
f93,288,72
f94,263,73
f95,218,5
f96,57,53
f97,133,34
f98,248,65
f99,225,27
f100,309,59
f101,248,35
f102,79,68
f103,202,78
f104,216,36
f105,25,65
f106,271,77
f107,218,57
f108,143,60
f109,97,12
f110,301,18
f111,248,38
f112,218,67
f113,159,0
f114,51,84
f115,225,90
f116,57,38
f117,156,56
f118,2,51
f119,130,78
f120,0,35
f121,149,25
f122,103,26
f123,25,22
f124,79,59
f125,294,69
f126,120,69
f127,0,19
f128,248,72
f129,287,57
f130,140,9
f131,102,26
f132,304,28
f133,120,47
f134,56,60
f135,34,27
f136,232,60
f137,278,64
f138,86,22
f139,0,68
f140,166,78
f141,189,7
f142,241,52
f143,245,67
f144,56,26
f145,84,78
f146,110,54
f147,255,66
f148,176,43
f149,176,76
f150,166,16
f151,264,51
f152,140,24
f153,0,59
f154,87,74
f155,124,59
f156,124,29
f157,248,14
f158,140,79
f159,130,32
f160,255,11
f161,264,34
f162,217,60
f163,271,32
f164,28,12
f165,140,77
f166,80,77
f167,140,28
f168,247,43
f169,301,52
f170,248,26
f171,2,12
f172,103,38
f173,51,78
f174,202,68
f175,209,53
f176,56,72
f177,126,57
f178,212,19
f179,120,51
f180,278,17
f181,281,84
f182,278,62
f183,0,5
f184,194,28
f185,255,48
f186,271,74
f187,154,69
f188,269,21
f189,147,46
f190,196,11
f191,209,36
f192,94,37
f193,189,90
f194,2,49
f195,150,81
f196,239,52
f197,304,14
f198,281,10
f199,58,81
f200,286,21
f201,199,14
f202,25,62
f203,11,59
f204,79,44
f205,97,40
f206,301,20
f207,103,56
f208,258,60
f209,195,11
f210,179,31
f211,0,79
f212,199,27
f213,133,30
f214,28,28
f215,163,78
f216,11,38
f217,51,35
f218,0,82
f219,278,47
f220,57,23
f221,224,83
f222,25,24
f223,235,67
f224,285,46
f225,218,45
f226,291,0
f227,301,69
f228,238,68
f229,153,84
f230,262,58
f231,232,49
f232,0,36
f233,195,74
f234,281,63
f235,170,29
f236,278,49
f237,271,54
f238,97,21
f239,94,62
f240,9,22
f241,107,84
f242,15,30
f243,33,46
f244,5,30
f245,271,78
f246,291,71
f247,304,68
f248,97,72
f249,0,61
f250,271,56
f251,163,73
f252,264,15
f253,101,59
f254,172,62
f255,25,47
f256,294,26
f257,241,75
f258,176,65
f259,0,62
f260,278,40
f261,294,73
f262,287,21
f263,217,57
f264,176,80
f265,193,65
f266,195,45
f267,103,22
f268,2,13
f269,107,12
f270,163,52
f271,308,17
f272,166,11
f273,117,11
f274,316,72
f275,0,27
f276,172,68
f277,107,14
f278,232,58
f279,212,80
f280,34,33
f281,301,71
f282,176,34
f283,120,54
f284,317,64
f285,241,34
f286,176,18
f287,285,35
f288,235,37
f289,232,47
f290,263,51
f291,171,47
f292,235,58
f293,149,58
f294,94,80
f295,317,62
f296,186,22
f297,278,58
f298,0,64
f299,255,35
f300,124,36
f301,120,7
f302,148,30
f303,173,55
f304,281,82
f305,265,80
f306,202,15
f307,156,55
f308,0,28
f309,209,57
f310,0,33
f311,117,27
f312,240,64
f313,222,77
f314,186,41
f315,74,7
f316,262,73
f317,153,54
f318,87,71
f319,74,35
f320,84,60
f321,217,22
f322,11,83
f323,51,57
f324,285,21
f325,28,32
f326,143,54
f327,179,59
f328,186,25
f329,218,22
f330,218,71
f331,194,45
f332,56,12
f333,103,66
f334,74,69
f335,57,12
f336,48,78
f337,11,22
f338,238,74
f339,176,20
f340,171,62
f341,264,39
f342,17,81
f343,97,61
f344,218,11
f345,5,77
f346,255,12
f347,51,67
f348,294,70
f349,291,84
f350,222,17
f351,242,64
f352,264,5
f353,84,80
f354,32,65
f355,149,33
f356,2,66
f357,126,74
f358,194,11
f359,179,56
f360,48,28
f361,202,73
f362,172,19
f363,171,10
f364,173,29
f365,38,32
f366,61,27
f367,179,60
f368,278,60
f369,217,29
f370,0,18
f371,10,50
f372,248,39
f373,15,66
f374,0,20
f375,242,17
f376,281,12
f377,117,70
f378,258,65
f379,166,80
f380,18,14
f381,102,66
f382,94,77
f383,209,32
f384,270,12
f385,79,26
f386,216,22
f387,94,17
f388,15,77
f389,248,73
f390,218,18
f391,172,29
f392,202,65
f393,270,9
f394,97,80
f395,51,29
f396,202,72
f397,0,72
f398,81,90
f399,0,39
f400,101,26
f401,225,24
f402,0,3
f403,314,6
f404,301,70
f405,74,84
f406,202,71
f407,103,59
f408,163,34
f409,40,22
f410,193,18
f411,0,34
f412,140,69
f413,130,11
f414,38,62
f415,0,30
f416,110,53
f417,5,64
f418,148,36
f419,48,13
f420,301,79
f421,25,34
f422,202,69
f423,120,28
f424,103,16
f425,0,29
f426,212,38
f427,48,22
