,area
f0,0
f1,0
f2,2
f3,1
f4,1
f5,0
f6,1
f7,3
f8,1
f9,2
f10,3
f11,0
f12,1
f13,1
f14,0
f15,1
f16,1
f17,3
f18,0
f19,1
f20,2
f21,3
f22,1
f23,2
f24,0
f25,0
f26,1
f27,1
f28,0
f29,0
f30,2
f31,0
f32,1
f33,3
f34,0
f35,0
f36,0
f37,3
f38,3
f39,0
f40,0
f41,3
f42,1
f43,2
f44,2
f45,0
f46,2
f47,0
f48,1
f49,0
f50,0
f51,1
f52,0
f53,1
f54,1
f55,0
f56,1
f57,3
f58,3
f59,1
f60,1
f61,0
f62,0
f63,3
f64,3
f65,0
f66,2
f67,3
f68,2
f69,2
f70,1
f71,0
f72,1
f73,3
f74,1
f75,1
f76,2
f77,1
f78,2
f79,0
f80,3
f81,2
f82,3
f83,3
f84,1
f85,1
f86,3
f87,1
f88,2
f89,0
f90,1
f91,2
f92,2
f93,2
f94,2
f95,0
f96,1
f97,1
f98,0
f99,0
f100,3
f101,2
f102,3
f103,3
f104,1
f105,3
f106,2
f107,0
f108,1
f109,3
f110,2
f111,1
f112,2
f113,1
f114,0
f115,0
f116,2
f117,0
f118,2
f119,0
f120,0
f121,0
f122,1
f123,3
f124,2
f125,1
f126,3
f127,1
f128,1
f129,1
f130,3
f131,0
f132,2
f133,1
f134,1
f135,2
f136,0
f137,2
f138,2
f139,3
f140,0
f141,3
f142,2
f143,1
f144,0
f145,0
f146,0
f147,2
f148,0
f149,1
f150,3
f151,1
f152,0
f153,1
f154,0
f155,3
f156,1
f157,0
f158,0
f159,0
f160,0
f161,3
f162,0
f163,1
f164,0
f165,1
f166,1
f167,2
f168,2
f169,0
f170,3
f171,1
f172,1
f173,1
f174,2
f175,1
f176,0
f177,0
f178,0
f179,0
f180,0
f181,0
f182,1
f183,2
f184,0
f185,0
f186,3
f187,1
f188,0
f189,2
f190,2
f191,0
f192,1
f193,3
f194,3
f195,2
f196,1
f197,1
f198,0
f199,2
f200,2
f201,2
f202,0
f203,3
f204,1
f205,1
f206,2
f207,0
f208,0
f209,3
f210,1
f211,3
f212,1
f213,3
f214,0
f215,2
f216,2
f217,1
f218,2
f219,0
f220,2
f221,2
f222,3
f223,1
f224,0
f225,3
f226,3
f227,0
f228,0
f229,0
f230,2
f231,2
f232,3
f233,0
f234,1
f235,0
f236,0
f237,3
f238,3
f239,0
f240,3
f241,0
f242,3
f243,0
f244,0
f245,0
f246,0
f247,3
f248,3
f249,2
f250,0
f251,0
f252,2
f253,3
f254,2
f255,1
f256,2
f257,3
f258,0
f259,3
f260,1
f261,0
f262,3
f263,2
f264,1
f265,2
f266,0
f267,0
f268,1
f269,1
f270,0
f271,1
f272,0
f273,0
f274,2
f275,0
f276,0
f277,3
f278,0
f279,0
f280,1
f281,3
f282,0
f283,3
f284,0
f285,0
f286,0
f287,2
f288,2
f289,1
f290,0
f291,1
f292,3
f293,1
f294,2
f295,0
f296,2
f297,1
f298,2
f299,3
f300,2
f301,2
f302,3
f303,0
f304,3
f305,0
f306,0
f307,2
f308,3
f309,3
f310,3
f311,0
f312,3
f313,0
f314,1
f315,0
f316,0
f317,3
f318,1
f319,0
f320,0
f321,0
f322,1
f323,0
f324,1
f325,3
f326,2
f327,0
f328,3
f329,2
f330,1
f331,2
f332,3
f333,1
f334,1
f335,2
f336,2
f337,2
f338,0
f339,1
f340,3
f341,0
f342,0
f343,3
f344,3
f345,1
f346,3
f347,0
f348,1
f349,3
f350,0
f351,0
f352,3
f353,1
f354,0
f355,2
f356,3
f357,2
f358,0
f359,1
f360,1
f361,0
f362,0
f363,3
f364,1
f365,1
f366,2
f367,0
f368,3
f369,1
f370,3
f371,0
f372,0
f373,1
f374,3
f375,1
f376,2
f377,2
f378,0
f379,1
f380,0
f381,2
f382,3
f383,3
f384,1
f385,1
f386,3
f387,3
f388,2
f389,0
f390,1
f391,1
f392,0
f393,2
f394,0
f395,0
f396,3
f397,3
f398,2
f399,2
f400,0
f401,3
f402,0
f403,1
f404,0
f405,1
f406,1
f407,2
f408,3
f409,2
f410,3
f411,1
f412,3
f413,0
f414,1
f415,3
f416,2
f417,1
f418,3
f419,2
f420,3
f421,2
f422,2
f423,0
f424,1
f425,1
f426,2
f427,0
f428,0
f429,2
f430,2
f431,2
f432,2
f433,2
f434,1
f435,1
f436,0
f437,0
f438,3
f439,0
f440,0
f441,3
f442,2
f443,1
f444,1
f445,3
f446,0
f447,2
f448,1
f449,0
f450,2
f451,2
f452,2
f453,2
f454,3
f455,2
f456,0
f457,0
f458,0
f459,3
f460,2
f461,2
f462,2
f463,3
f464,3
f465,1
f466,3
f467,1
f468,2
f469,0
f470,2
f471,1
f472,0
f473,1
f474,3
f475,3
f476,2
f477,2
f478,3
f479,0
f480,0
f481,2
f482,3
f483,0
f484,3
f485,1
f486,0
f487,2
f488,1
f489,1
f490,2
f491,2
f492,2
f493,0
f494,1
f495,1
f496,0
f497,2
f498,3
f499,3
f500,2
f501,0
f502,0
f503,1
f504,1
f505,1
f506,2
f507,2
f508,0
f509,1
f510,0
f511,2
f512,0
f513,2
f514,2
f515,3
f516,3
f517,1
f518,3
f519,1
f520,0
f521,3
f522,1
f523,0
f524,3
f525,3
f526,3
f527,1
f528,2
f529,1
f530,2
f531,3
f532,0
f533,0
f534,0
f535,1
f536,3
f537,0
f538,0
f539,0
f540,3
f541,3
f542,3
f543,2
f544,1
f545,2
f546,0
f547,2
f548,2
f549,0
f550,3
f551,2
f552,0
f553,0
f554,1
f555,3
f556,0
f557,1
f558,1
f559,1
f560,1
f561,0
f562,3
f563,0
f564,0
f565,1
f566,0
f567,0
f568,1
f569,1
f570,2
f571,2
f572,1
f573,3
f574,1
f575,1
f576,1
f577,3
f578,2
f579,2
f580,2
f581,2
f582,3
f583,1
f584,2
f585,0
f586,1
f587,3
f588,1
f589,1
f590,0
f591,3
f592,1
f593,3
f594,0
f595,2
f596,1
f597,1
f598,0
f599,2
f600,2
f601,2
f602,3
f603,2
f604,0
f605,3
f606,3
f607,1
f608,2
f609,2
f610,0
