,area
f0,2
f1,1
f2,1
f3,0
f4,2
f5,0
f6,0
f7,1
f8,1
f9,2
f10,1
f11,0
f12,0
f13,2
f14,1
f15,0
f16,0
f17,2
f18,2
f19,2
f20,0
f21,1
f22,2
f23,0
f24,1
f25,1
f26,1
f27,2
f28,1
f29,1
f30,1
f31,2
f32,2
f33,2
f34,0
f35,2
f36,1
f37,0
f38,0
f39,1
f40,0
f41,0
f42,0
f43,1
f44,1
f45,0
f46,1
f47,0
f48,0
f49,0
f50,0
f51,0
f52,0
f53,0
f54,1
f55,1
f56,2
f57,2
f58,2
f59,2
f60,1
f61,1
f62,0
f63,1
f64,2
f65,2
f66,1
f67,0
f68,0
f69,1
f70,0
f71,2
f72,1
f73,2
f74,2
f75,2
f76,0
f77,0
f78,1
f79,1
f80,2
f81,2
f82,0
f83,2
f84,0
f85,1
f86,0
f87,2
f88,0
f89,1
f90,2
f91,2
f92,1
f93,2
f94,2
f95,0
f96,0
f97,1
f98,0
f99,0
f100,0
f101,1
f102,1
f103,0
f104,1
f105,1
f106,1
f107,2
f108,2
f109,1
f110,1
f111,0
f112,0
f113,2
f114,2
f115,1
f116,0
f117,2
f118,1
f119,2
f120,1
f121,1
f122,1
f123,2
f124,1
f125,2
f126,1
f127,1
f128,2
f129,0
f130,0
f131,2
f132,2
f133,2
f134,0
f135,1
f136,0
f137,1
f138,0
f139,1
f140,1
f141,2
f142,0
f143,2
f144,2
f145,0
f146,2
f147,0
f148,1
f149,2
f150,0
f151,1
f152,0
f153,1
f154,2
f155,0
f156,0
f157,2
f158,0
f159,2
f160,2
f161,0
f162,0
f163,0
f164,0
f165,1
f166,1
f167,0
f168,0
f169,0
f170,1
f171,0
f172,0
f173,2
f174,0
f175,2
f176,2
f177,2
f178,0
f179,2
f180,2
f181,2
f182,0
f183,1
f184,2
f185,2
f186,1
f187,1
f188,0
f189,2
f190,2
f191,2
f192,0
f193,2
f194,2
f195,0
f196,2
f197,2
f198,0
f199,0
f200,1
f201,2
f202,2
f203,0
f204,2
f205,2
f206,1
f207,0
f208,2
f209,1
f210,0
f211,2
f212,0
f213,2
f214,0
f215,0
f216,1
f217,1
f218,1
f219,1
f220,0
f221,0
f222,0
f223,2
f224,2
f225,0
f226,1
f227,1
f228,0
f229,2
f230,2
f231,1
f232,2
f233,0
f234,1
f235,0
f236,0
f237,1
f238,0
f239,0
f240,0
f241,1
f242,0
f243,0
f244,2
f245,2
f246,1
f247,1
f248,1
f249,1
f250,1
f251,1
f252,2
f253,2
f254,2
f255,1
f256,1
f257,1
f258,0
f259,2
f260,1
f261,2
f262,1
f263,2
f264,2
f265,2
f266,1
f267,0
f268,2
f269,2
f270,1
f271,2
f272,0
f273,0
f274,0
f275,0
f276,0
f277,0
f278,1
f279,2
f280,2
f281,0
f282,1
f283,1
f284,2
f285,1
f286,0
f287,2
f288,1
f289,0
f290,1
f291,2
f292,0
f293,0
f294,1
f295,0
f296,0
f297,2
f298,1
f299,1
f300,1
f301,1
f302,1
f303,0
f304,2
f305,0
f306,0
f307,2
f308,2
f309,2
f310,1
f311,0
f312,2
f313,0
f314,1
f315,0
f316,1
f317,2
f318,0
f319,0
f320,2
f321,0
f322,2
f323,0
f324,0
f325,1
f326,2
f327,0
f328,0
f329,1
f330,1
f331,0
f332,0
f333,2
f334,2
f335,1
f336,2
f337,1
f338,0
f339,2
f340,2
f341,2
f342,1
f343,1
f344,1
f345,2
f346,2
f347,2
f348,2
f349,1
f350,0
f351,2
f352,0
f353,0
f354,1
f355,2
f356,1
f357,0
f358,0
f359,1
f360,0
f361,0
f362,0
f363,2
f364,0
f365,2
f366,0
f367,0
f368,0
f369,0
f370,2
f371,2
f372,0
f373,2
f374,0
f375,0
f376,2
f377,1
f378,0
f379,2
f380,1
f381,0
f382,1
f383,0
f384,0
f385,2
f386,2
f387,0
f388,2
f389,0
f390,1
f391,1
f392,1
f393,2
f394,2
f395,2
f396,2
f397,0
f398,0
f399,1
f400,0
f401,2
f402,2
f403,1
f404,2
f405,0
f406,2
f407,2
f408,0
f409,2
f410,0
f411,2
f412,2
f413,0
f414,1
f415,1
f416,1
f417,1
f418,0
f419,2
f420,0
f421,2
f422,1
f423,0
f424,0
f425,0
f426,1
f427,0
f428,0
f429,0
f430,0
f431,1
f432,2
f433,0
f434,1
f435,0
f436,0
f437,2
f438,1
f439,2
f440,0
f441,2
f442,2
f443,2
f444,1
f445,2
f446,2
f447,0
f448,0
f449,1
f450,0
f451,2
f452,1
f453,0
f454,2
f455,1
f456,0
f457,0
f458,2
f459,2
f460,0
f461,0
f462,2
f463,1
f464,1
f465,1
f466,0
f467,2
f468,2
f469,1
f470,0
f471,0
f472,0
f473,0
f474,2
f475,0
f476,0
f477,0
f478,2
f479,0
f480,0
f481,1
f482,0
f483,2
f484,2
f485,1
f486,0
f487,0
f488,0
f489,1
f490,1
f491,1
f492,0
f493,1
f494,0
f495,2
f496,2
f497,2
f498,1
f499,0
f500,1
f501,2
f502,2
f503,0
f504,2
f505,1
f506,2
f507,1
f508,0
f509,2
f510,2
f511,2
f512,2
f513,0
f514,0
f515,0
f516,0
f517,0
f518,0
f519,2
f520,1
f521,2
f522,2
f523,0
f524,2
f525,1
f526,2
f527,0
f528,0
f529,1
f530,0
f531,2
f532,1
f533,2
f534,2
f535,2
f536,1
f537,2
f538,1
f539,1
f540,0
f541,0
f542,1
f543,2
f544,2
f545,0
f546,2
f547,2
f548,0
f549,2
f550,0
f551,0
f552,2
f553,1
f554,2
f555,0
f556,1
f557,2
f558,0
f559,1
f560,2
f561,0
f562,0
f563,0
f564,0
f565,0
f566,0
f567,2
f568,0
f569,2
f570,2
f571,2
f572,2
f573,1
f574,1
f575,1
f576,2
f577,0
f578,1
f579,0
f580,2
f581,2
f582,2
f583,1
f584,2
f585,0
f586,1
f587,0
f588,2
f589,1
f590,1
f591,0
f592,0
f593,0
f594,0
f595,1
f596,1
f597,2
f598,1
f599,0
f600,1
f601,2
f602,0
f603,0
f604,1
f605,2
f606,0
f607,2
f608,2
f609,0
f610,2
f611,0
f612,2
f613,1
f614,0
f615,2
f616,1
f617,0
f618,1
f619,0
f620,1
f621,1
f622,1
f623,2
f624,0
f625,0
f626,2
f627,0
f628,0
f629,2
f630,1
f631,2
f632,1
f633,1
f634,2
f635,0
f636,1
f637,1
f638,0
f639,0
f640,2
f641,1
f642,2
f643,1
f644,0
f645,1
f646,1
f647,2
f648,2
f649,1
f650,0
f651,0
f652,0
f653,2
f654,2
f655,0
f656,2
f657,2
f658,2
f659,0
f660,1
f661,0
f662,1
f663,0
f664,2
f665,0
f666,0
f667,1
f668,1
f669,0
f670,2
f671,2
f672,1
f673,0
f674,0
f675,2
f676,0
f677,1
f678,1
f679,0
f680,0
f681,0
f682,2
f683,2
f684,1
f685,0
f686,2
f687,1
f688,2
f689,1
f690,0
f691,1
f692,1
f693,2
f694,2
f695,2
f696,1
f697,2
f698,2
f699,1
f700,0
f701,1
f702,2
f703,1
f704,1
f705,0
f706,2
f707,2
f708,2
f709,1
f710,0
f711,0
f712,1
f713,2
f714,0
f715,1
f716,0
f717,1
f718,1
f719,0
f720,0
f721,1
f722,0
f723,2
f724,2
f725,1
f726,0
f727,1
f728,1
f729,1
f730,0
f731,0
f732,0
f733,1
f734,1
f735,1
f736,0
f737,1
f738,0
f739,1
f740,0
f741,2
f742,1
f743,0
f744,2
f745,0
f746,0
f747,1
f748,1
f749,0
f750,1
f751,1
f752,1
f753,0
f754,1
f755,0
f756,1
f757,1
f758,1
f759,0
f760,2
f761,2
f762,1
f763,0
f764,2
f765,0
f766,2
f767,0
f768,0
f769,1
f770,0
f771,0
f772,0
f773,1
f774,1
f775,1
f776,0
f777,0
f778,1
f779,2
f780,2
f781,2
f782,0
f783,0
f784,1
f785,1
f786,2
f787,0
f788,0
f789,2
f790,1
f791,2
f792,0
f793,1
f794,2
f795,2
f796,1
f797,2
f798,2
f799,0
f800,0
f801,2
f802,1
f803,2
f804,1
f805,2
f806,1
f807,0
f808,2
f809,0
f810,1
f811,0
f812,1
f813,2
f814,0
f815,0
f816,0
f817,1
f818,2
f819,0
f820,2
f821,1
f822,2
f823,2
f824,0
f825,2
f826,2
f827,2
f828,2
f829,0
f830,2
f831,0
f832,1
f833,0
f834,0
f835,0
f836,2
f837,2
f838,0
f839,2
f840,0
f841,0
f842,0
f843,0
f844,1
f845,0
f846,0
f847,2
f848,0
f849,2
f850,2
f851,0
f852,0
f853,0
f854,0
f855,1
f856,0
f857,2
f858,2
f859,2
f860,1
f861,0
f862,0
f863,2
f864,2
f865,1
f866,0
f867,2
f868,1
f869,1
f870,2
f871,2
f872,1
f873,0
f874,0
f875,2
f876,2
f877,0
f878,1
f879,2
f880,2
f881,1
f882,1
f883,1
f884,2
f885,2
f886,0
f887,0
f888,1
f889,1
f890,2
f891,0
f892,2
f893,1
f894,2
f895,2
f896,1
f897,0
f898,1
f899,0
f900,1
f901,0
f902,0
f903,1
f904,1
f905,1
f906,0
f907,2
f908,0
f909,2
f910,1
f911,1
f912,2
f913,2
f914,0
f915,1
f916,0
f917,0
f918,0
f919,0
f920,1
f921,0
f922,0
f923,2
f924,0
f925,1
f926,1
f927,1
f928,0
f929,2
f930,1
f931,2
f932,1
f933,1
f934,2
f935,0
f936,1
f937,0
f938,2
f939,0
f940,2
f941,2
f942,1
f943,0
f944,2
f945,2
f946,2
f947,2
f948,1
f949,1
f950,2
f951,0
f952,0
f953,1
f954,0
f955,0
f956,0
f957,2
f958,1
f959,2
f960,2
f961,2
f962,0
f963,2
f964,2
f965,0
f966,2
f967,1
f968,0
f969,1
f970,0
f971,2
f972,2
f973,2
f974,2
f975,0
f976,2
f977,0
f978,1
f979,1
f980,0
f981,1
f982,2
f983,0
f984,2
f985,1
f986,2
f987,2
f988,1
f989,0
f990,1
f991,1
f992,1
f993,0
f994,0
f995,1
f996,2
f997,2
f998,1
f999,1
f1000,1
f1001,0
f1002,1
f1003,0
f1004,2
f1005,2
f1006,0
f1007,1
f1008,2
f1009,2
f1010,2
f1011,1
f1012,2
f1013,0
f1014,1
f1015,1
f1016,1
f1017,0
f1018,2
f1019,1
f1020,0
f1021,0
f1022,1
f1023,2
f1024,1
f1025,2
f1026,1
f1027,0
f1028,2
f1029,2
f1030,2
f1031,1
f1032,1
f1033,0
f1034,2
f1035,1
f1036,2
f1037,1
f1038,0
f1039,0
f1040,1
f1041,2
f1042,0
f1043,1
f1044,1
f1045,2
f1046,0
f1047,1
f1048,2
f1049,0
f1050,0
f1051,0
f1052,2
f1053,2
f1054,0
f1055,0
f1056,1
f1057,2
f1058,1
f1059,2
f1060,0
f1061,2
f1062,2
f1063,2
f1064,0
f1065,1
f1066,1
f1067,0
f1068,2
f1069,1
f1070,0
f1071,2
f1072,0
f1073,2
f1074,2
f1075,0
f1076,0
f1077,1
f1078,1
f1079,0
f1080,1
f1081,2
f1082,1
f1083,1
f1084,1
f1085,0
f1086,0
f1087,0
f1088,1
f1089,0
f1090,2
f1091,2
f1092,1
f1093,1
f1094,2
f1095,1
f1096,2
f1097,0
f1098,2
f1099,0
f1100,2
f1101,0
f1102,1
f1103,1
f1104,2
f1105,1
f1106,0
f1107,0
f1108,2
f1109,2
f1110,2
f1111,2
f1112,0
f1113,2
f1114,0
f1115,2
f1116,1
f1117,0
f1118,2
f1119,2
f1120,1
f1121,1
f1122,2
f1123,0
f1124,2
f1125,1
f1126,0
f1127,0
f1128,2
f1129,1
f1130,2
f1131,2
f1132,0
f1133,2
f1134,0
f1135,2
f1136,0
f1137,1
f1138,1
f1139,0
f1140,1
f1141,2
f1142,1
f1143,0
f1144,2
f1145,0
f1146,2
f1147,1
f1148,0
f1149,2
f1150,1
f1151,0
f1152,1
f1153,2
f1154,1
f1155,0
f1156,0
f1157,2
f1158,0
f1159,2
f1160,0
f1161,1
f1162,0
f1163,1
f1164,1
f1165,0
f1166,1
f1167,0
f1168,0
f1169,1
f1170,1
f1171,1
f1172,2
f1173,2
f1174,1
f1175,1
f1176,1
f1177,2
f1178,0
f1179,2
f1180,2
f1181,0
f1182,2
f1183,1
f1184,0
f1185,0
f1186,1
f1187,2
f1188,0
f1189,2
f1190,1
f1191,0
f1192,0
f1193,0
f1194,2
f1195,0
f1196,1
f1197,2
f1198,2
f1199,1
f1200,2
f1201,1
f1202,2
f1203,0
f1204,0
f1205,2
f1206,0
f1207,0
f1208,1
f1209,0
f1210,1
f1211,2
f1212,0
f1213,2
f1214,0
f1215,2
f1216,1
f1217,1
f1218,0
f1219,0
f1220,2
f1221,0
f1222,1
f1223,2
f1224,1
f1225,0
f1226,0
f1227,1
f1228,0
f1229,2
f1230,0
f1231,0
f1232,2
f1233,0
f1234,2
f1235,1
f1236,2
f1237,1
f1238,0
f1239,2
f1240,1
f1241,1
f1242,0
f1243,0
f1244,0
f1245,1
f1246,1
f1247,1
f1248,1
f1249,0
f1250,1
f1251,2
f1252,2
f1253,2
f1254,2
f1255,1
f1256,1
f1257,2
f1258,0
