,coordinate1,coordinate2
c0,4670,9215
c1,4944,3443
c2,5583,4648
c3,5246,7953
c4,5201,6311
c5,5651,9547
c6,7645,4753
c7,6070,9468
c8,4004,3143
c9,8195,3707
c10,3437,4763
c11,3076,6326
c12,3430,5573
c13,4951,8966
c14,3681,6603
c15,6623,4944
c16,5406,9360
c17,6313,7825
c18,7605,3295
c19,5246,6007
c20,4670,4845
c21,3596,6987
c22,7355,3260
c23,4756,7869
c24,5750,5215
c25,3909,5058
c26,6657,4337
c27,7785,3630
c28,3900,5261
c29,4269,6175
c30,5472,8465
c31,3255,5840
c32,7792,3292
c33,7296,2938
c34,3883,4647
c35,6475,3506
c36,7834,3866
c37,4199,5987
c38,4278,7195
c39,5262,9786
c40,2985,5495
c41,5263,7230
c42,3561,5102
c43,3387,5007
c44,3933,6989
c45,5367,6884
c46,6724,3827
c47,5699,10030
c48,6602,5926
c49,4503,3739
c50,5530,10579
c51,4993,6125
c52,4978,8642
c53,6617,4234
c54,5966,3286
c55,4360,9182
c56,5908,7823
c57,4406,4762
c58,4384,6229
c59,6008,9300
c60,4753,4109
c61,5653,3948
c62,5291,6781
c63,5045,10415
c64,5896,3081
c65,5272,9786
c66,7009,4479
c67,5653,4183
c68,5406,8046
c69,4812,5860
c70,6095,9691
c71,5371,5121
c72,4030,8857
c73,5672,4277
c74,3876,4854
c75,5672,4552
c76,3398,7327
c77,4498,4684
c78,5780,7657
c79,6012,4401
c80,4950,4993
c81,3685,5747
c82,5107,10237
c83,3951,9223
c84,5342,5609
c85,3612,5519
c86,5507,6312
c87,5111,9306
c88,6744,4298
c89,7451,4569
c90,3569,4843
c91,3679,7074
c92,3760,7450
c93,7631,4266
c94,6302,7876
c95,7394,3823
c96,4883,2858
c97,5519,4888
c98,3988,7059
c99,4948,8564
c100,5311,3280
c101,5608,6208
c102,4210,9122
c103,7028,5789
c104,5870,4149
c105,5664,9338
c106,3747,8135
c107,5059,3293
c108,5032,7895
c109,4440,5030
c110,6263,8342
c111,3362,5745
c112,4859,7719
c113,5545,2694
c114,4010,6872
c115,5927,9381
c116,3987,6104
c117,5418,7045
c118,4012,9002
c119,5265,10490
c120,4509,2959
c121,4590,5548
c122,4921,3851
c123,5867,3855
c124,4723,5108
c125,5048,4225
c126,3488,5708
c127,4593,3228
c128,4408,4873
c129,2968,7322
c130,7556,3308
c131,4424,4870
c132,4297,4329
c133,4316,7704
c134,4345,8674
c135,4327,3081
c136,5140,6251
c137,4936,9617
c138,7341,5074
c139,5018,5541
c140,3475,5667
c141,4513,5056
c142,5567,2758
c143,4322,6088
c144,6456,4985
c145,3643,6383
c146,5083,10523
c147,6308,4346
c148,5713,3189
c149,3173,6642
c150,7693,3011
c151,3675,5063
c152,3437,6139
c153,5638,6063
c154,5359,10376
c155,5572,10030
c156,5843,7823
c157,3959,5171
c158,7096,4242
c159,5581,10637
c160,3566,8178
c161,3378,6093
c162,4789,5677
c163,4104,9092
c164,6355,3813
c165,4263,5967
c166,5670,10186
c167,6188,5564
c168,5288,3665
c169,4572,4076
c170,4897,5605
c171,4566,2778
c172,5090,8984
c173,5653,9150
c174,5656,6512
c175,6207,9464
c176,4045,6422
c177,3752,7053
c178,3868,7541
c179,5844,7705
c180,6034,3297
c181,4922,3352
c182,4018,5218
c183,5308,7416
c184,5408,9203
c185,4632,6775
c186,4204,7221
c187,3545,6584
c188,4250,3940
c189,4176,6010
c190,3190,5273
c191,3970,5524
c192,5866,7940
c193,5291,8080
c194,4944,5580
c195,7151,5347
c196,6308,2704
c197,4012,4842
c198,4900,5298
c199,4122,5731
c200,4800,3766
c201,5845,5999
c202,4987,9549
c203,4844,4994
c204,3477,5204
c205,6808,3091
c206,4069,8523
c207,4695,3635
c208,3805,5120
c209,5459,4114
c210,4013,9212
c211,3271,5375
c212,6758,5288
c213,4870,9283
c214,5558,4139
c215,7676,3275
c216,3906,6376
c217,7341,4999
c218,4355,4946
c219,4064,6994
c220,3862,5253
c221,6056,9589
c222,6985,3443
c223,4636,10612
c224,4513,3483
c225,4564,4568
c226,3303,5138
c227,4317,6098
c228,3920,5103
c229,4976,6868
c230,4742,5329
c231,3750,4444
c232,4227,5270
c233,4859,4670
c234,4559,4740
c235,5544,7314
c236,4909,10010
c237,3684,6578
c238,6269,4260
c239,5818,7442
c240,4817,4386
c241,4626,4860
c242,3973,6395
c243,4826,9298
c244,4744,4741
c245,5430,7555
c246,3841,4747
c247,5574,4764
c248,4182,9228
c249,2984,5422
c250,3991,5201
c251,6030,5067
c252,5024,6100
c253,7009,4391
c254,3717,5885
c255,5673,9217
c256,4781,6257
c257,5353,3302
